Removed Pin From Net: NetName=GND Pin=Q5-3
Removed Member From Class: ClassName=LM_001 Member=Q7
Change Component Footprint: Designator=Q5 Old Footprint=ONSC-DPAK-3-369AA-01_V New Footprint=FDT457N
Change Component Comment : Designator=Q5 Old Comment=NTD4804NT4G New Comment=FDT457N
Change component parameters: Designator = "Q5"; Footprint = "FDT457N"; UniqueID = "\WBKTIMTY"
Add component (AddParameter): Name = "Channels (#)"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "Manufacturer URL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.linear.com/"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = "http://cds.linear.com/docs/en/datasheet/1991fh.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3Description"; Value = "Package Specification"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3URL"; Value = "http://cds.linear.com/docs/en/packaging/MSOP_10_05-08-1661.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "DatasheetVersion"; Value = "Rev. H"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "GBW (MHz) Typical"; Value = "0.56"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Is (mA) Typical"; Value = "0.1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Linear Technology Part Number"; Value = "LT1991"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Linear Technology"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Technology"; Value = "Surface Mount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageDescription"; Value = "10-Lead Plastic MSOP, Body 3 x 3 mm, Pitch 0.5 mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageReference"; Value = "LT-MS-10"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageVersion"; Value = "Rev E"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PartNumber"; Value = "LT1991HMS#PBF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RevisionNote"; Value = "URLs updated"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = "Pb-Free"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "SR (V/us) Typical"; Value = "0.12"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Type"; Value = "SGA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Vos (mV) Guaranteed"; Value = "0.05"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Vos (mV) Typical"; Value = "0.015"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Vs Max (V)"; Value = "40"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Vs Min (V)"; Value = "2.4"; VariantName = "[No Variations]"
Added Component: Designator=U9(DBV0005A_L)
Add component. Clean all parameters for all variants
Add component (AddParameter): Name = "CMRR(Min)(dB)"; Value = "120"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Code_JEDEC"; Value = "MO-178"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "Manufacturer URL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.ti.com/"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = "http://www.ti.com/lit/ds/symlink/opa188.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3Description"; Value = "Package Specification"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3URL"; Value = "http://www.ti.com/litv/pdf/mpds018i"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "DatasheetVersion"; Value = "SBOS642A"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Eco-Plan"; Value = "Green (RoHS & no Sb/Br)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "GBW(Typ)(MHz)"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Iq per channel(Max)(mA)"; Value = "0.51"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Texas Instruments"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Technology"; Value = "Surface Mount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Channels"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Offset Drift(Typ)(uV/C)"; Value = "0.03"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageDescription"; Value = "5-Pin Plastic Small Outline, Body 1.6 x 2.9 mm, Pitch 0.95 mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageReference"; Value = "DBV0005A"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageVersion"; Value = "4073253-4/K, 03/2006"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packing"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PartNumber"; Value = "OPA188AIDBVT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Rating"; Value = "Catalog"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Slew Rate(Typ)(V/us)"; Value = "0.8"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "SubFamily"; Value = "Zero Drift Precision Amplifier"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Total Supply Voltage(Max)(+5V is 5, +/-5V is 10)"; Value = "36"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Total Supply Voltage(Min)(+5V is 5, +/-5V is 10)"; Value = "4"; VariantName = "[No Variations]"
Added Component: Designator=U10(TSOP65P640X90-20N)
Add component. Clean all parameters for all variants
Add component (AddParameter): Name = "-3db Bandwidth"; Value = "-"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Base Part Number"; Value = "MAX333"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Category"; Value = "Integrated Circuits (ICs)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Channel-to-Channel Matching (&Delta;Ron)"; Value = "2 Ohm (Max)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Channel Capacitance (CS(off), CD(off))"; Value = "5pF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Charge Injection"; Value = "2pC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "https://pdfserv.maximintegrated.com/en/ds/MAX333A.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "https://pdfserv.maximintegrated.com/en/ds/MAX333A.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Crosstalk"; Value = "-78dB @ 1MHz"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Current - Leakage (IS(off)) (Max)"; Value = "250pA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Maxim Integrated"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "MAX333AEUP+"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Multiplexer/Demultiplexer Circuit"; Value = "2:1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "On-State Resistance (Max)"; Value = "45 Ohm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating Temperature"; Value = "-40°C ~ 85°C (TA)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package / Case"; Value = "20-TSSOP (0.173", 4.40mm Width)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Tube"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Status"; Value = "Active"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pricing 1"; Value = "1=6.77, 10=6.432, 25=6, 50=5.8942 (USD)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = "RoHS Compliant"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Stock 1"; Value = "1328"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Device Package"; Value = "20-TSSOP"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "MAX333AEUP+-ND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Switch Circuit"; Value = "SPDT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Switch Time (Ton, Toff) (Max)"; Value = "175ns, 145ns"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage - Supply, Dual (V±)"; Value = "±4.5 V ~ 20 V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage - Supply, Single (V+)"; Value = "10 V ~ 30 V"; VariantName = "[No Variations]"
Added Component: Designator=U11(DBV0005A_L)
Add component. Clean all parameters for all variants
Add component (AddParameter): Name = "CMRR(Min)(dB)"; Value = "120"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Code_JEDEC"; Value = "MO-178"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "Manufacturer URL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.ti.com/"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = "http://www.ti.com/lit/ds/symlink/opa188.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3Description"; Value = "Package Specification"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3URL"; Value = "http://www.ti.com/litv/pdf/mpds018i"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "DatasheetVersion"; Value = "SBOS642A"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Eco-Plan"; Value = "Green (RoHS & no Sb/Br)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "GBW(Typ)(MHz)"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Iq per channel(Max)(mA)"; Value = "0.51"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Texas Instruments"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Technology"; Value = "Surface Mount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Channels"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Offset Drift(Typ)(uV/C)"; Value = "0.03"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageDescription"; Value = "5-Pin Plastic Small Outline, Body 1.6 x 2.9 mm, Pitch 0.95 mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageReference"; Value = "DBV0005A"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageVersion"; Value = "4073253-4/K, 03/2006"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packing"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PartNumber"; Value = "OPA188AIDBVT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Rating"; Value = "Catalog"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Slew Rate(Typ)(V/us)"; Value = "0.8"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "SubFamily"; Value = "Zero Drift Precision Amplifier"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Total Supply Voltage(Max)(+5V is 5, +/-5V is 10)"; Value = "36"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Total Supply Voltage(Min)(+5V is 5, +/-5V is 10)"; Value = "4"; VariantName = "[No Variations]"
Added Component: Designator=U12(DBV0005A_L)
Add component. Clean all parameters for all variants
Add component (AddParameter): Name = "CMRR(Min)(dB)"; Value = "120"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Code_JEDEC"; Value = "MO-178"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "Manufacturer URL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.ti.com/"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = "http://www.ti.com/lit/ds/symlink/opa188.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3Description"; Value = "Package Specification"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3URL"; Value = "http://www.ti.com/litv/pdf/mpds018i"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "DatasheetVersion"; Value = "SBOS642A"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Eco-Plan"; Value = "Green (RoHS & no Sb/Br)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "GBW(Typ)(MHz)"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Iq per channel(Max)(mA)"; Value = "0.51"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Texas Instruments"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Technology"; Value = "Surface Mount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Channels"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Offset Drift(Typ)(uV/C)"; Value = "0.03"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageDescription"; Value = "5-Pin Plastic Small Outline, Body 1.6 x 2.9 mm, Pitch 0.95 mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageReference"; Value = "DBV0005A"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageVersion"; Value = "4073253-4/K, 03/2006"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packing"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PartNumber"; Value = "OPA188AIDBVT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Rating"; Value = "Catalog"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Slew Rate(Typ)(V/us)"; Value = "0.8"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "SubFamily"; Value = "Zero Drift Precision Amplifier"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Total Supply Voltage(Max)(+5V is 5, +/-5V is 10)"; Value = "36"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Total Supply Voltage(Min)(+5V is 5, +/-5V is 10)"; Value = "4"; VariantName = "[No Variations]"
Added Component: Designator=U14(D0008A_N)
Add component. Clean all parameters for all variants
Add component (AddParameter): Name = "2nd Harmonic(dBc)"; Value = "-128"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "3rd Harmonic(dBc)"; Value = "-137"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "@ MHz"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "BW @ Acl(MHz)"; Value = "24"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "CMRR(Min)(dB)"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Code_JEDEC"; Value = "MS-012"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "Manufacturer URL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.ti.com/"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = "http://www.ti.com/general/docs/lit/getliterature.tsp?genericPartNumber=THS4531&fileType=pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3Description"; Value = "Package Specification"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3URL"; Value = "http://www.ti.com/litv/pdf/msoi002j"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "DatasheetVersion"; Value = "SLOS358B"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Eco-Plan"; Value = "Green (RoHS & no Sb/Br)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "GBW(Typ)(MHz)"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Io(Typ)(mA)"; Value = "26"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Iq per channel(Max)(mA)"; Value = "0.35"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Texas Instruments"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Technology"; Value = "Surface Mount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Channels"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Offset Drift(Typ)(uV/C)"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Offset Voltage Drift (+/-)(Max)(uV/Degrees Celsius"; Value = "10"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageDescription"; Value = "8-Pin Plastic Small Outline, Body 4.9 x 3.9 mm, Pitch 1.27 mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageReference"; Value = "D0008A"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageVersion"; Value = "4040047-3/M, 06/2011"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packing"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PartNumber"; Value = "THS4531ID"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Rail-Rail"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Rating"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Settling Time (0.1%)(Typ)(ns)"; Value = "60"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Slew Rate(Typ)(V/us)"; Value = "15"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "SubFamily"; Value = "Fully Differential Amplifier"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "THD (Fc is 1 MHz)(Typ)(dB)"; Value = "-107"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Total Supply Voltage(Max)(+5V is 5, +/-5V is 10)"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Total Supply Voltage(Min)(+5V is 5, +/-5V is 10)"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Vio (25C)(Max)(mV)"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Vio(Max)(mV)"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Vn at Flatband(Typ)(nV/rtHz)"; Value = "10"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Vs(Max)(V)"; Value = "5.5"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Vs(Min)(V)"; Value = "2.5"; VariantName = "[No Variations]"
Added Pin To Net: NetName=+5 Pin=C24-1
Added Pin To Net: NetName=GND Pin=C24-2
Added Pin To Net: NetName=-5 Pin=C25-1
Added Pin To Net: NetName=GND Pin=C25-2
Added Pin To Net: NetName=GND Pin=P1-3
Added Pin To Net: NetName=Board1 Htr Out Pin=Q5-3
Added Pin To Net: NetName=GND Pin=R63-1
Added Pin To Net: NetName=GND Pin=U7-25
Added Pin To Net: NetName=Long_Raw Pin=U8-1
Added Pin To Net: NetName=Long_Raw Pin=U8-3
Added Pin To Net: NetName=GND Pin=U8-4
Added Pin To Net: NetName=VR_REF_Long Pin=U8-5
Added Pin To Net: NetName=NetC22_1 Pin=U8-6
Added Pin To Net: NetName=+5 Pin=U8-7
Added Pin To Net: NetName=GND Pin=U8-8
Added Pin To Net: NetName=-5 Pin=U9-2
Added Pin To Net: NetName=Cross_Blue Pin=U9-3
Added Pin To Net: NetName=+5 Pin=U9-5
Added Pin To Net: NetName=GND Pin=U10-2
Added Pin To Net: NetName=-5 Pin=U10-5
Added Pin To Net: NetName=GND Pin=U10-6
Added Pin To Net: NetName=Long_Blue Pin=U10-13
Added Pin To Net: NetName=+5 Pin=U10-16
Added Pin To Net: NetName=Cross_Blue Pin=U10-18
Added Pin To Net: NetName=-5 Pin=U11-2
Added Pin To Net: NetName=Long_Blue Pin=U11-3
Added Pin To Net: NetName=+5 Pin=U11-5
Added Pin To Net: NetName=-5 Pin=U12-2
Added Pin To Net: NetName=+5 Pin=U12-5
Added Pin To Net: NetName=+5 Pin=U14-3
Added Pin To Net: NetName=-5 Pin=U14-6
Change Net Name : Old Net Name=GND New Net Name=Cross_Black
Added Pin To Net: NetName=DAC0 Pin=R62-1
Added Net: Name=DAC0
Added Pin To Net: NetName=NetR61_1 Pin=R61-1
Added Pin To Net: NetName=NetR61_1 Pin=R62-2
Added Pin To Net: NetName=NetR61_1 Pin=U14-1
Added Net: Name=NetR61_1
Added Pin To Net: NetName=NetR63_2 Pin=R63-2
Added Pin To Net: NetName=NetR63_2 Pin=R64-1
Added Pin To Net: NetName=NetR63_2 Pin=U14-8
Added Net: Name=NetR63_2
Added Pin To Net: NetName=NetU9_1 Pin=U9-1
Added Pin To Net: NetName=NetU9_1 Pin=U9-4
Added Net: Name=NetU9_1
Added Pin To Net: NetName=NetU11_1 Pin=U11-1
Added Pin To Net: NetName=NetU11_1 Pin=U11-4
Added Net: Name=NetU11_1
Added Pin To Net: NetName=NetU12_1 Pin=U12-1
Added Pin To Net: NetName=NetU12_1 Pin=U12-4
Added Net: Name=NetU12_1
Added Pin To Net: NetName=PWM3 Pin=U10-11
Added Pin To Net: NetName=PWM3 Pin=U10-20
Added Net: Name=PWM3
Added Pin To Net: NetName=VOUT+ Pin=R61-2
Added Pin To Net: NetName=VOUT+ Pin=U10-12
Added Pin To Net: NetName=VOUT+ Pin=U10-17
Added Pin To Net: NetName=VOUT+ Pin=U14-4
Added Net: Name=VOUT+
Added Pin To Net: NetName=VOUT- Pin=R64-2
Added Pin To Net: NetName=VOUT- Pin=U10-14
Added Pin To Net: NetName=VOUT- Pin=U10-19
Added Pin To Net: NetName=VOUT- Pin=U14-5
Added Net: Name=VOUT-
Added Class: Name=ZLS_Signal_Conditioner
Added Member To Class: ClassName=LM_001 Member=Component P16 0530470210
Added Member To Class: ClassName=LM_001 Member=Component P17 0530470210
Added Member To Class: ClassName=LM_001 Member=Component P18 0530470210
Added Member To Class: ClassName=LM_001 Member=Component P19 0530470210
Added Member To Class: ClassName=LM_001 Member=Component P20 0530470210
Added Member To Class: ClassName=LM_001 Member=Component P21 0530470210
Added Member To Class: ClassName=LM_001 Member=Component P22 0530470210
Added Member To Class: ClassName=LM_001 Member=Component P23 0530470210
Added Member To Class: ClassName=LM_001 Member=Component P24 0530470210
Added Member To Class: ClassName=LM_001 Member=Component P25 0530470210
Added Member To Class: ClassName=LM_001 Member=Component P26 0530470210
Added Member To Class: ClassName=LM_001 Member=Component P27 0530470210
Added Member To Class: ClassName=Signal_Conditioner Member=Component U8 LT1991HMS#PBF
